epoch,Precision,Recall,accuracy,auc,loss,lr
0,0.9152748584747314,0.9453908205032349,0.9289388656616211,0.9774177670478821,0.29909783601760864,9.358476381748915e-05
1,0.9436779618263245,0.9627565145492554,0.9526478052139282,0.9882009625434875,0.18487203121185303,1.7215803381986916e-05
2,0.9505346417427063,0.9672415852546692,0.9584534764289856,0.9905093312263489,0.1658729463815689,1.0148844012292102e-05
3,0.9538154602050781,0.969511091709137,0.961283266544342,0.9915105104446411,0.15683366358280182,7.2227044256578665e-06
4,0.956169605255127,0.97090083360672,0.963197648525238,0.9922158718109131,0.15063507854938507,5.611625965684652e-06
5,0.957670271396637,0.9721101522445679,0.9645710587501526,0.9926880598068237,0.14607204496860504,4.589800937537802e-06
6,0.9589678645133972,0.9728720784187317,0.9656224250793457,0.9930698871612549,0.14269216358661652,3.88340185963898e-06
7,0.9600369334220886,0.9735821485519409,0.9665275812149048,0.993367612361908,0.14006952941417694,3.365714519532048e-06
8,0.9607482552528381,0.9740927815437317,0.9671477675437927,0.9935831427574158,0.13792431354522705,2.9699572223762516e-06
9,0.9616261720657349,0.9745904803276062,0.9678497910499573,0.9938061833381653,0.13560065627098083,2.657554659890593e-06
10,0.9622460603713989,0.9750327467918396,0.9683886170387268,0.993985116481781,0.13432319462299347,2.404664428468095e-06
11,0.9628965854644775,0.9754974842071533,0.96895432472229,0.9941462874412537,0.132651224732399,2.1957464468869148e-06
12,0.9632998108863831,0.9758191704750061,0.9693210124969482,0.9942734837532043,0.13159514963626862,2.0202483028697316e-06
13,0.9637879729270935,0.9761883616447449,0.9697551131248474,0.9943571090698242,0.1307595819234848,1.8707382878346834e-06
14,0.9642147421836853,0.9764004349708557,0.9700815081596375,0.9945130348205566,0.12966883182525635,1.7418392417312134e-06
15,0.9647092819213867,0.9765775203704834,0.9704263210296631,0.9946066737174988,0.128653883934021,1.629568828320771e-06
16,0.9651013016700745,0.9768221974372864,0.9707497358322144,0.9947308301925659,0.12777723371982574,1.5308942238334566e-06
17,0.9652099013328552,0.977124035358429,0.9709522724151611,0.9947814345359802,0.12701119482517242,1.4434940567298327e-06
18,0.9655628800392151,0.9773294925689697,0.9712364077568054,0.9948785901069641,0.12618042528629303,1.3655346720042871e-06
19,0.9657991528511047,0.9773987531661987,0.9713934659957886,0.9949300289154053,0.12585662305355072,1.2955646297996282e-06
20,0.9660511016845703,0.977683961391449,0.9716631770133972,0.9950004816055298,0.12536810338497162,1.232421141139639e-06
21,0.9663217067718506,0.977693498134613,0.9718093872070312,0.9950506687164307,0.12470879405736923,1.1751445754271117e-06
22,0.9666181802749634,0.9779969453811646,0.9721111059188843,0.995087742805481,0.12404482811689377,1.1229585652472451e-06
23,0.9668747782707214,0.9781185984611511,0.9723041653633118,0.9951955080032349,0.1235763430595398,1.0752095249699778e-06
24,0.966915488243103,0.9781315922737122,0.9723318219184875,0.9952003955841064,0.12346597760915756,1.0313530083294609e-06
25,0.9671469330787659,0.9782739877700806,0.9725214838981628,0.9952505826950073,0.1230430006980896,9.909416576192598e-07
26,0.9671635627746582,0.9783802032470703,0.9725815653800964,0.9952636361122131,0.12280252575874329,9.535712592878554e-07
27,0.967097818851471,0.9781902432441711,0.9724553227424622,0.9952676892280579,0.12334954738616943,9.18920648018684e-07
28,0.9675735235214233,0.9785321354866028,0.9728690385818481,0.9954113364219666,0.12170789390802383,8.867028213899175e-07
29,0.9677610993385315,0.9786352515220642,0.9730174541473389,0.9954317212104797,0.12162686139345169,8.566656219954893e-07
30,0.9678617119789124,0.9787655472755432,0.9731326103210449,0.9954548478126526,0.12128623574972153,8.285925332529587e-07
31,0.9680916666984558,0.9790160655975342,0.9733738899230957,0.9954882860183716,0.12080135196447372,8.023035320547933e-07
32,0.9681827425956726,0.9789555668830872,0.9733922481536865,0.9955165386199951,0.12089215219020844,7.776348525112553e-07
33,0.9684385061264038,0.9791050553321838,0.9735979437828064,0.9955598711967468,0.12030236423015594,7.544357458755258e-07
34,0.9682709574699402,0.9791113138198853,0.9735135436058044,0.9955899715423584,0.12040279805660248,7.325805313485034e-07
35,0.9678557515144348,0.9788501262664795,0.9731703400611877,0.9954714775085449,0.12200286239385605,7.119570000213571e-07
36,0.9684692025184631,0.9790663719177246,0.9735952019691467,0.9956108927726746,0.12043828517198563,6.924623789927864e-07
37,0.9686434864997864,0.9793329834938049,0.9738152623176575,0.9956604838371277,0.11956517398357391,6.740074809385987e-07
38,0.96885085105896,0.9794785976409912,0.973993718624115,0.9956886768341064,0.11926665902137756,6.565102239619591e-07
39,0.9688714146614075,0.979436993598938,0.97398442029953,0.9957249760627747,0.11916496604681015,6.398981895472389e-07
40,0.9692381620407104,0.9796246886253357,0.9742665886878967,0.9957590699195862,0.11858147382736206,6.241065193535178e-07
41,0.969089150428772,0.9796211123466492,0.9741871356964111,0.9957633018493652,0.1187342181801796,6.090757551646675e-07
42,0.9691473841667175,0.9797217845916748,0.9742663502693176,0.9958020448684692,0.11820271611213684,5.947513841420005e-07
43,0.969296395778656,0.979773223400116,0.9743689298629761,0.995800256729126,0.11821766942739487,5.810867946820508e-07
44,0.9696415066719055,0.9800270199775696,0.9746716022491455,0.9958608746528625,0.11756881326436996,5.68032419323572e-07
45,0.9695183038711548,0.9797695875167847,0.9744828939437866,0.9958477020263672,0.11797823756933212,5.555536972678965e-07
46,0.9696502685546875,0.9799929857254028,0.9746597409248352,0.9958680272102356,0.1176062822341919,5.436137939796026e-07
47,0.9696592092514038,0.9800057411193848,0.97467041015625,0.9959045648574829,0.11801841855049133,5.321746243680536e-07
48,0.9696982502937317,0.9801276922225952,0.9747500419616699,0.9959180951118469,0.11726607382297516,5.212058908909967e-07
49,0.9698559045791626,0.9802371859550476,0.9748852252960205,0.9959471821784973,0.11717461049556732,5.106816729494312e-07
50,0.9699335098266602,0.980185329914093,0.9749006032943726,0.9959688782691956,0.11682789772748947,5.00575140449655e-07
51,0.9699828028678894,0.9802842140197754,0.9749740958213806,0.9959573149681091,0.11680734902620316,4.908582695861696e-07
52,0.9698039293289185,0.9801582098007202,0.9748197793960571,0.9959250688552856,0.11738581210374832,4.815128704649396e-07
53,0.9700908660888672,0.9803197979927063,0.9750475883483887,0.9960105419158936,0.11673811823129654,4.7251495516320574e-07
54,0.9702252149581909,0.9802884459495544,0.9751025438308716,0.9960148930549622,0.11644590646028519,4.6384880647565296e-07
55,0.9695749282836914,0.9799569845199585,0.9746030569076538,0.9959047436714172,0.11887285113334656,4.554971155812382e-07
56,0.9698325395584106,0.9799981713294983,0.974757194519043,0.9959424138069153,0.11742181330919266,4.4743674720848503e-07
57,0.9702429175376892,0.980351448059082,0.9751420617103577,0.9960346221923828,0.11675596237182617,4.396565316255874e-07
58,0.9703543186187744,0.9803675413131714,0.975208044052124,0.9960497617721558,0.11666586250066757,4.3214134848312824e-07
59,0.970418393611908,0.9806138873100281,0.9753605723381042,0.9960744976997375,0.11621365696191788,4.24885740812897e-07
60,0.9705309867858887,0.9805501699447632,0.9753884673118591,0.9960789680480957,0.11574365198612213,4.178641006546968e-07
61,0.9704312682151794,0.9806572794914246,0.9753884673118591,0.9960665106773376,0.11618585884571075,4.110750921881845e-07
62,0.9705960154533386,0.9806023836135864,0.9754475355148315,0.9961193203926086,0.11552894860506058,4.0449873495163047e-07
63,0.9706267714500427,0.9806936979293823,0.9755077958106995,0.9961326718330383,0.11572879552841187,3.981291456511826e-07
64,0.9706365466117859,0.9806292057037354,0.9754816889762878,0.9961231350898743,0.1158740445971489,3.9196049783640774e-07
65,0.9708269834518433,0.9807161092758179,0.9756230115890503,0.9961733222007751,0.11542245000600815,3.8597701745857194e-07
66,0.9709676504135132,0.9808366894721985,0.9757545590400696,0.9961968660354614,0.11498790234327316,3.80175521286219e-07
